Deploy,Subject,Status,Previous inputs,New inputs,Previous unit,New unit,Explanation
November,Carbon modelling,Renamed,capacity_of_energy_production_synthetic_kerosene_dispatchable,capacity_of_energy_production_fischer_tropsch_synthetic_dispatchable,MW,-,"Renamed input, represents flexible Fischer-Tropsch via synthetic feedstock route"
November,Carbon modelling,Changed,industry_useful_demand_for_chemical_refineries,-,%,PJ,Changed to set as absolute value instead of relative value
November,Carbon modelling,New,-,volume_of_baseload_import_bio_pyrolysis_oil,-,PJ,Baseload import of pyrolysis bio-oil
November,Carbon modelling,New,-,volume_of_baseload_import_pyrolysis_oil,-,PJ,Baseload import of pyrolysis oil
November,Carbon modelling,New,-,volume_of_baseload_export_bio_ethanol,-,PJ,Baseload export of fuel
November,Carbon modelling,New,-,volume_of_baseload_export_bio_kerosene,-,PJ,Baseload export of fuel
November,Carbon modelling,New,-,volume_of_baseload_export_bio_pyrolysis_oil,-,PJ,Baseload export of fuel
November,Carbon modelling,New,-,volume_of_baseload_export_biodiesel,-,PJ,Baseload export of fuel
November,Carbon modelling,New,-,volume_of_baseload_export_biomethanol,-,PJ,Baseload export of fuel
November,Carbon modelling,New,-,volume_of_baseload_export_bionaphtha,-,PJ,Baseload export of fuel
November,Carbon modelling,New,-,volume_of_baseload_export_methanol,-,PJ,Baseload export of fuel
November,Carbon modelling,New,-,volume_of_baseload_export_pyrolysis_oil,-,PJ,Baseload export of fuel
November,Carbon modelling,New,-,investment_costs_fischer_tropsch,-,%,Relative change in investment costs of production process
November,Carbon modelling,New,-,investment_costs_fractionation_pyrolysis_oil,-,%,Relative change in investment costs of production process
November,Carbon modelling,New,-,investment_costs_hvo,-,%,Relative change in investment costs of production process
November,Carbon modelling,New,-,investment_costs_methanol_synthesis,-,%,Relative change in investment costs of production process
November,Carbon modelling,New,-,investment_costs_pyrolysis,-,%,Relative change in investment costs of production process
November,Carbon modelling,New,-,om_costs_fischer_tropsch,-,%,Relative change in O&M costs of production process
November,Carbon modelling,New,-,om_costs_fractionation_pyrolysis_oil,-,%,Relative change in O&M costs of production process
November,Carbon modelling,New,-,om_costs_hvo,-,%,Relative change in O&M costs of production process
November,Carbon modelling,New,-,om_costs_methanol_synthesis,-,%,Relative change in O&M costs of production process
November,Carbon modelling,New,-,om_costs_pyrolysis,-,%,Relative change in O&M costs of production process
November,Carbon modelling,Removed,investment_costs_co2_utilisation,-,%,-,Replaced by new inputs for Fischer-Tropsch and methanol synthesis (that set costs of synthetic feedstock route using CO2)
November,Carbon modelling,Removed,om_costs_co2_utilisation,-,%,-,Replaced by new inputs for Fischer-Tropsch and methanol synthesis (that set costs of synthetic feedstock route using CO2)
November,Carbon modelling,New,-,bunkers_ship_using_biomethanol_share,-,%,Share of biomethanol in methanol mix for international navigation
November,Carbon modelling,New,-,bunkers_ship_using_methanol_share,-,%,Share of methanol in methanol mix for international navigation
November,Carbon modelling,New,-,bunkers_ship_using_methanol_mix_share,-,%,Share of ships using methanol mix in international navigation
November,Carbon modelling,New,-,transport_ship_using_methanol_mix_share,-,%,Share of ships using methanol mix in national navigation
November,Carbon modelling,New,-,transport_shipping_mixer_methanol_biomethanol_share,-,%,Share of biomethanol in methanol mix for national navigation
November,Carbon modelling,New,-,transport_shipping_mixer_methanol_methanol_share,-,%,Share of methanol in methanol mix for national navigation
November,Carbon modelling,New,-,transport_aviation_mixer_kerosene_bio_kerosene_share,-,%,Share of biokerosene in kerosene mix for national aviation
November,Carbon modelling,New,-,transport_aviation_mixer_kerosene_kerosene_share,-,%,Share of kerosene in kerosene mix for national aviation
November,Carbon modelling,Changed,transport_plane_using_kerosene_share,transport_plane_using_kerosene_mix_share,-,%,Share of planes using kerosene mix for national aviation
