Deploy,Subject,Status,Previous area_code,New area_code,Explanation
October,area_code,Changed,-,nl2023,New 2023 dataset for the Netherlands
October,area_code,Changed,GM0370_beemster,-,Municipalities merged into new municipality
October,area_code,Changed,GM0398_heerhugowaard,-,Municipalities merged into new municipality
October,area_code,Changed,GM0416_langedijk,-,Municipalities merged into new municipality
October,area_code,Changed,GM0457_weesp,-,Municipalities merged into new municipality
October,area_code,Changed,GM0501_brielle,-,Municipalities merged into new municipality
October,area_code,Changed,GM0530_hellevoetsluis,-,Municipalities merged into new municipality
October,area_code,Changed,GM0614_westvoorne,-,Municipalities merged into new municipality
October,area_code,Changed,GM0756_boxmeer,-,Municipalities merged into new municipality
October,area_code,Changed,GM0786_grave,-,Municipalities merged into new municipality
October,area_code,Changed,GM0815_mill_en_sint_hubert,-,Municipalities merged into new municipality
October,area_code,Changed,GM0856_uden,-,Municipalities merged into new municipality
October,area_code,Changed,GM1684_cuijk,-,Municipalities merged into new municipality
October,area_code,Changed,GM1685_landerd,-,Municipalities merged into new municipality
October,area_code,Changed,GM1702_sint_anthonis,-,Municipalities merged into new municipality
October,area_code,Changed,-,GM1980_dijk_en_waard,New merged municipality
October,area_code,Changed,-,GM1982_land_van_cuijk,New merged municipality
October,area_code,Changed,-,GM1991_maashorst,New merged municipality
October,area_code,Changed,-,GM1992_voorne_aan_zee,New merged municipality
October,area_code,Changed,PV21_friesland,PV21_fryslan,Renamed
October,area_code,Changed,RES01_achterhoek,ES07_achterhoek,CBS code applied
October,area_code,Changed,RES02_drechtsteden,ES18_drechtsteden,CBS code applied
October,area_code,Changed,RES03_regio_drenthe,ES03_drenthe,CBS code applied
October,area_code,Changed,RES04_flevoland,ES06_flevoland,CBS code applied
October,area_code,Changed,RES05_foodvalley,ES09_foodvalley,CBS code applied
October,area_code,Changed,RES06_regio_friesland,ES02_friesland,CBS code applied
October,area_code,Changed,RES07_goeree_overflakkee,ES19_goeree_overflakkee,CBS code applied
October,area_code,Changed,RES08_groningen,ES01_groningen,CBS code applied
October,area_code,Changed,RES09_hart_van_brabant,ES25_hart_van_brabant,CBS code applied
October,area_code,Changed,RES10_hoeksewaard,ES20_hoeksche_waard,CBS code applied
October,area_code,Changed,RES11_holland_rijnland,ES21_holland_rijnland,CBS code applied
October,area_code,Changed,RES12_metropoolregio_eindhoven,ES26_metropoolregio_eindhoven,CBS code applied
October,area_code,Changed,RES13_rotterdam_denhaag,ES23_rotterdam_den_haag,CBS code applied
October,area_code,Changed,RES14_midden_holland,ES22_midden_holland,CBS code applied
October,area_code,Changed,RES16_noord_holland_noord,ES15_noord_holland_noord,CBS code applied
October,area_code,Changed,RES17_noord_holland_zuid,ES16_noord_holland_zuid,CBS code applied
October,area_code,Changed,RES18_noord_veluwe,ES10_noord_veluwe,CBS code applied
October,area_code,Changed,RES19_noord_en_midden_limburg,ES29_noord_en_midden_limburg,CBS code applied
October,area_code,Changed,RES20_noord_oost_brabant,ES27_noordoost_brabant,CBS code applied
October,area_code,Changed,RES21_alblasserwaard,ES17_alblasserwaard,CBS code applied
October,area_code,Changed,RES22_amersfoort,ES13_amersfoort,CBS code applied
October,area_code,Changed,RES23_arnhem_nijmegen,ES08_arnhem_nijmegen,CBS code applied
October,area_code,Changed,RES24_u16,ES14_u16,CBS code applied
October,area_code,Changed,RES25_rivierenland_fruitdelta,ES11_fruitdelta_rivierenland,CBS code applied
October,area_code,Changed,RES26_cleantechregio,ES12_stedendriehoek,CBS code applied
October,area_code,Changed,RES27_twente,ES04_twente,CBS code applied
October,area_code,Changed,RES28_west_brabant,ES28_west_brabant,CBS code applied
October,area_code,Changed,RES29_west_overijssel,ES05_west_overijssel,CBS code applied
October,area_code,Changed,RES30_zeeland,ES24_zeeland,CBS code applied
October,area_code,Changed,RES31_zuid_limburg,ES30_zuid_limburg,CBS code applied
