"id","key","query","name","description","created_at","updated_at","not_cacheable"
19,"cost_electricity_import","PRODUCT(
  Q(cost_electricity_ex_import),
  V(electricity_import_export_energy;demand),
  INVERSE(SUM(V(GROUP(electricity_production);output_of_electricity)))
)
","","Multiplies the imported electricity with the average electricity production cost of the domestic production.","2010-05-20 09:53:31","2010-07-16 12:59:01",0
20,"cost_electricity_ex_import","SUM(
  V(G(electricity_production); total_cost_electricity)
)","","","2010-05-20 09:53:59","2010-05-20 09:53:59",0
21,"cost_transport_fuels","SUM( 
  V( INTERSECTION( G(final_demand_cbs), SECTOR(transport) ); cost_of_outputs)
)","","","2010-05-20 09:55:06","2010-06-30 13:32:53",0
22,"cost_non_energetic_fuels","SUM( 
  V( INTERSECTION( G(final_demand_cbs), USE(non_energetic) ); cost_of_inputs)
)","","","2010-05-20 09:55:36","2010-05-21 15:06:37",0
23,"cost_total","SUM(
  Q(cost_heat_production),
  Q(cost_electricity_production),
  Q(cost_transport_fuels),
  Q(cost_energy_sector_fuels),
  Q(cost_non_energetic_fuels),
  IF(EQUALS(AREA(area),nl),
    PRODUCT(Q(annual_netwerk_cost),BILLIONS),
    0)
)    ","","Sums up the costs. Only for the Netherlands the netwerk costs are included.","2010-05-20 09:56:09","2010-07-09 09:48:13",0
24,"area_footprint_per_nl","DIVIDE(
  GRAPH(area_footprint), AREA(areable_land)
)","","","2010-05-21 08:11:43","2010-05-21 08:11:43",0
25,"potential_roof_pv_production","PRODUCT(
  DIVIDE(
    AREA(roof_surface_available_pv),
    V(local_solar_pv_grid_connected_energy_energetic;land_use_in_nl)
  ),
  V(local_solar_pv_grid_connected_energy_energetic;typical_capacity_effective_in_mj_s),
  V(local_solar_pv_grid_connected_energy_energetic;capacity_factor),
  SECS_PER_YEAR
)","","","2010-05-21 08:14:29","2010-05-21 08:15:49",0
26,"energy_dependence","DIVIDE(
  SUM(V(G(energy_import_export);demand)),
  SUM(V(G(primary_energy_demand);demand))
)","","","2010-05-21 08:16:33","2010-05-21 08:16:33",0
27,"fuel_dependence","DIVIDE(
  SUM(V( G(energy_import_export) ;demand)),
  SUM(V( G(mining_and_extraction),G(energy_import_export) ;demand))
)","","","2010-05-21 08:17:07","2010-05-21 15:33:01",0
28,"primary_demand_of_final_demand","SUM(V(G(final_demand_cbs);primary_demand))","","","2010-05-21 09:33:24","2010-05-21 09:33:24",0
29,"sustainability_heat_production","DIVIDE(
  SUM(V( G(heat_production); useful_output * demand * sustainable_input_factor)),
  SUM(V( G(heat_production); useful_output * demand))
)","","","2010-05-21 09:35:34","2010-05-21 09:35:34",0
30,"sustainability_electricity_production","DIVIDE(
   SUM(V( G(electricity_production); useful_output * demand * sustainable_input_factor)),
   SUM(V( G(electricity_production); useful_output * demand))
)","","","2010-05-21 09:36:03","2010-05-21 09:36:03",0
31,"share_of_renewable_electricity","DIVIDE(
  SUM(V( G(electricity_production); primary_demand_of_sustainable)),
  SUM(V( G(electricity_production); primary_demand))
)
","","","2010-05-21 09:39:50","2010-05-21 09:39:50",0
32,"share_of_renewable_energy","DIVIDE(
  SUM(V( G(final_demand_cbs); primary_demand_of_sustainable),Q(ambient_heat_use)),
  SUM(V( G(final_demand_cbs); final_demand),Q(ambient_heat_use))
)","","","2010-05-21 09:40:06","2010-06-15 14:33:04",0
33,"share_of_renewable_energy_in_procent","PRODUCT(Q(share_of_renewable_energy), 100)","","","2010-05-21 09:40:18","2010-05-21 09:40:18",0
34,"centrally_produced_electricity_industry","SUM(
  V(electricity_industry_energetic;demand),
  NEG(
    SUM(
      V(small_chp_industry_energetic,large_chp_industry_energetic,biomass_chp_industry_energetic,bio_oil_chp_industry_energetic;output_of_electricity)
    )
  )
)","","","2010-05-21 09:43:50","2010-06-28 11:00:07",0
35,"fossil_heat_old","SUM(
  V(
    micro_chp_households_energetic,
    central_heating_households_energetic,
    heater_on_coal_households_energetic,
    heater_on_oil_households_energetic,
    heater_on_greengas_households_energetic,
    cv_hot_water_households_energetic,
    heatpump_boiler_using_city_heat_households_energetic;output_of_heat_carriers
  ),
  NEG(V(heatpump_boiler_using_city_heat_households_energetic;input_of_electricity))
)","","","2010-05-21 09:47:20","2010-05-21 09:47:20",0
36,"fossil_heat","SUM(
  V(
    micro_chp_households_energetic,
    central_heating_households_energetic,
    heater_on_coal_households_energetic,
    heater_on_oil_households_energetic,
    heater_on_greengas_households_energetic,
    cv_hot_water_households_energetic,
    cooking_energy_demand_households_energetic,
    cooling_demand_households_energetic,
    heatpump_boiler_using_city_heat_households_energetic,
    hot_water_demand_households_energetic,
    gasheatpump_households_energetic;
      output_of_heat_carriers
  ),
  NEG(
  V(
    micro_chp_households_energetic,
    central_heating_households_energetic,
    heater_on_coal_households_energetic,
    heater_on_oil_households_energetic,
    heater_on_greengas_households_energetic,
    cv_hot_water_households_energetic,
    cooking_energy_demand_households_energetic,
    cooling_demand_households_energetic,
    heatpump_boiler_using_city_heat_households_energetic,
    hot_water_demand_households_energetic,
    gasheatpump_households_energetic;
      input_of_electricity
   )
 )
)     ","","","2010-05-21 09:48:43","2010-06-14 10:14:43",0
37,"fossil_heat_other","SUM(
  V(
    gas_burner_other_other_energetic, 
    oil_burner_other_other_energetic, 
    coal_burner_other_other_energetic,
    steam_hot_water_other_energetic;
      output_of_heat_carriers
  )
)","","","2010-05-21 09:52:10","2010-07-01 15:24:14",0
38,"fossil_heat_industry","SUM(
  V(
    coal_burner_industry_industry_energetic,
    oil_burner_industry_industry_energetic,
    gas_burner_industry_industry_energetic,
    greengas_burner_industry_industry_energetic,
    large_chp_industry_energetic,
    small_chp_industry_energetic;
      output_of_heat_carriers
  )
)","","","2010-05-21 09:54:21","2010-06-25 15:09:27",0
39,"fossil_heat_agriculture","SUM(
  V(
    oil_burner_agri_agriculture_energetic,
    gas_burner_agri_agriculture_energetic,
    steam_hot_water_agriculture_energetic;
      output_of_heat_carriers
  ))","","","2010-05-21 09:55:33","2010-07-01 14:37:14",0
40,"fossil_heat_production","SUM(
  Q(fossil_heat),
  Q(fossil_heat_industry),
  Q(fossil_heat_agriculture),
  Q(fossil_heat_other)
)","","","2010-05-21 09:56:33","2010-05-21 09:56:33",0
41,"biomass_heat","V(heater_on_biomass_households_energetic;output_of_useable_heat)","","","2010-05-21 10:02:09","2010-05-21 10:02:09",0
